,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,ORCL_BALANCE_SHEET_reportedCurrency,ORCL_BALANCE_SHEET_totalAssets,ORCL_BALANCE_SHEET_totalCurrentAssets,ORCL_BALANCE_SHEET_cashAndCashEquivalentsAtCarryingValue,ORCL_BALANCE_SHEET_cashAndShortTermInvestments,ORCL_BALANCE_SHEET_inventory,ORCL_BALANCE_SHEET_currentNetReceivables,ORCL_BALANCE_SHEET_totalNonCurrentAssets,ORCL_BALANCE_SHEET_propertyPlantEquipment,ORCL_BALANCE_SHEET_accumulatedDepreciationAmortizationPPE,ORCL_BALANCE_SHEET_intangibleAssets,ORCL_BALANCE_SHEET_intangibleAssetsExcludingGoodwill,ORCL_BALANCE_SHEET_goodwill,ORCL_BALANCE_SHEET_investments,ORCL_BALANCE_SHEET_longTermInvestments,ORCL_BALANCE_SHEET_shortTermInvestments,ORCL_BALANCE_SHEET_otherCurrentAssets,ORCL_BALANCE_SHEET_otherNonCurrentAssets,ORCL_BALANCE_SHEET_totalLiabilities,ORCL_BALANCE_SHEET_totalCurrentLiabilities,ORCL_BALANCE_SHEET_currentAccountsPayable,ORCL_BALANCE_SHEET_deferredRevenue,ORCL_BALANCE_SHEET_currentDebt,ORCL_BALANCE_SHEET_shortTermDebt,ORCL_BALANCE_SHEET_totalNonCurrentLiabilities,ORCL_BALANCE_SHEET_capitalLeaseObligations,ORCL_BALANCE_SHEET_longTermDebt,ORCL_BALANCE_SHEET_currentLongTermDebt,ORCL_BALANCE_SHEET_longTermDebtNoncurrent,ORCL_BALANCE_SHEET_shortLongTermDebtTotal,ORCL_BALANCE_SHEET_otherCurrentLiabilities,ORCL_BALANCE_SHEET_otherNonCurrentLiabilities,ORCL_BALANCE_SHEET_totalShareholderEquity,ORCL_BALANCE_SHEET_treasuryStock,ORCL_BALANCE_SHEET_retainedEarnings,ORCL_BALANCE_SHEET_commonStock,ORCL_BALANCE_SHEET_commonStockSharesOutstanding,ORCL_CASH_FLOW_reportedCurrency,ORCL_CASH_FLOW_operatingCashflow,ORCL_CASH_FLOW_paymentsForOperatingActivities,ORCL_CASH_FLOW_proceedsFromOperatingActivities,ORCL_CASH_FLOW_changeInOperatingLiabilities,ORCL_CASH_FLOW_changeInOperatingAssets,ORCL_CASH_FLOW_depreciationDepletionAndAmortization,ORCL_CASH_FLOW_capitalExpenditures,ORCL_CASH_FLOW_changeInReceivables,ORCL_CASH_FLOW_changeInInventory,ORCL_CASH_FLOW_profitLoss,ORCL_CASH_FLOW_cashflowFromInvestment,ORCL_CASH_FLOW_cashflowFromFinancing,ORCL_CASH_FLOW_proceedsFromRepaymentsOfShortTermDebt,ORCL_CASH_FLOW_paymentsForRepurchaseOfCommonStock,ORCL_CASH_FLOW_paymentsForRepurchaseOfEquity,ORCL_CASH_FLOW_paymentsForRepurchaseOfPreferredStock,ORCL_CASH_FLOW_dividendPayout,ORCL_CASH_FLOW_dividendPayoutCommonStock,ORCL_CASH_FLOW_dividendPayoutPreferredStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfCommonStock,ORCL_CASH_FLOW_proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,ORCL_CASH_FLOW_proceedsFromIssuanceOfPreferredStock,ORCL_CASH_FLOW_proceedsFromRepurchaseOfEquity,ORCL_CASH_FLOW_proceedsFromSaleOfTreasuryStock,ORCL_CASH_FLOW_changeInCashAndCashEquivalents,ORCL_CASH_FLOW_changeInExchangeRate,ORCL_CASH_FLOW_netIncome,ORCL_INCOME_STATEMENT_reportedCurrency,ORCL_INCOME_STATEMENT_grossProfit,ORCL_INCOME_STATEMENT_totalRevenue,ORCL_INCOME_STATEMENT_costOfRevenue,ORCL_INCOME_STATEMENT_costofGoodsAndServicesSold,ORCL_INCOME_STATEMENT_operatingIncome,ORCL_INCOME_STATEMENT_sellingGeneralAndAdministrative,ORCL_INCOME_STATEMENT_researchAndDevelopment,ORCL_INCOME_STATEMENT_operatingExpenses,ORCL_INCOME_STATEMENT_investmentIncomeNet,ORCL_INCOME_STATEMENT_netInterestIncome,ORCL_INCOME_STATEMENT_interestIncome,ORCL_INCOME_STATEMENT_interestExpense,ORCL_INCOME_STATEMENT_nonInterestIncome,ORCL_INCOME_STATEMENT_otherNonOperatingIncome,ORCL_INCOME_STATEMENT_depreciation,ORCL_INCOME_STATEMENT_depreciationAndAmortization,ORCL_INCOME_STATEMENT_incomeBeforeTax,ORCL_INCOME_STATEMENT_incomeTaxExpense,ORCL_INCOME_STATEMENT_interestAndDebtExpense,ORCL_INCOME_STATEMENT_netIncomeFromContinuingOperations,ORCL_INCOME_STATEMENT_comprehensiveIncomeNetOfTax,ORCL_INCOME_STATEMENT_ebit,ORCL_INCOME_STATEMENT_ebitda,ORCL_INCOME_STATEMENT_netIncome,ORCL_EARNINGS_reportedDate,ORCL_EARNINGS_reportedEPS,ORCL_EARNINGS_estimatedEPS,ORCL_EARNINGS_surprise,ORCL_EARNINGS_surprisePercentage,ORCL_EARNINGS_reportTime,ORCL_SHARES_OUTSTANDING_shares_outstanding_diluted,ORCL_SHARES_OUTSTANDING_shares_outstanding_basic
2001-04-30,15.1500,20.8400,13.0000,16.1600,12.9575,1124158500,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-15,0.1,0.1,0,0,post-market,,
2001-05-31,16.3200,18.5200,14.4500,15.3000,12.2680,1040007600,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-18,0.15,0.14,0.01,7.1429,post-market,,
2001-06-29,15.5000,20.0200,14.6200,19.0000,15.2347,999939500,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-18,0.15,0.14,0.01,7.1429,post-market,,
2001-07-31,19.2400,20.0000,17.4600,18.0800,14.4970,663335400,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-18,0.15,0.14,0.01,7.1429,post-market,,
2001-08-31,18.3600,18.8500,11.8200,12.2100,9.7903,862836000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-09-13,0.09,0.08,0.01,12.5,post-market,,
2001-09-28,12.5300,13.0600,10.1600,12.5800,10.0870,885814600,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-09-13,0.09,0.08,0.01,12.5,post-market,,
2001-10-31,12.4700,15.4800,12.1800,13.5600,10.8728,1010548100,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-09-13,0.09,0.08,0.01,12.5,post-market,,
2001-11-30,13.5900,16.2800,13.4200,14.0300,11.2496,835801200,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-13,0.1,0.1,0,0,post-market,,
2001-12-31,14.2700,16.0300,13.3200,13.8100,11.0732,902651800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-13,0.1,0.1,0,0,post-market,,
2002-01-31,14.0600,17.5000,13.8000,17.2600,13.8395,982482000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-12-13,0.1,0.1,0,0,post-market,,
2002-02-28,17.0300,17.0300,14.5100,16.6200,13.3264,717495900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-14,0.09,0.09,0,0,post-market,,
2002-03-28,16.6600,16.7200,12.4400,12.8000,10.2634,1084341000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-14,0.09,0.09,0,0,post-market,,
2002-04-30,12.6000,12.8900,10.0000,10.0400,8.0503,858987300,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-14,0.09,0.09,0,0,post-market,,
2002-05-31,9.9300,10.0000,7.5000,7.9000,6.3344,1338384000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-18,0.14,0.12,0.02,16.6667,post-market,,
2002-06-28,7.8000,9.9200,7.2510,9.4700,7.5933,1288408900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-18,0.14,0.12,0.02,16.6667,post-market,,
2002-07-31,9.3000,10.5500,8.3600,10.0100,8.0263,1228460500,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-18,0.14,0.12,0.02,16.6667,post-market,,
2002-08-30,9.9300,11.2200,9.0000,9.5900,7.6895,970463800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-06-18,0.14,0.12,0.02,16.6667,post-market,,
2002-09-30,9.5100,10.2000,7.1900,7.8600,6.3024,1080104500,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-17,0.07,0.07,0,0,post-market,,
2002-10-31,7.8300,10.4200,7.6500,10.1900,8.1706,1105851100,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-17,0.07,0.07,0,0,post-market,,
2002-11-29,10.0400,12.2500,8.9700,12.1500,9.7422,953049800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-09-17,0.07,0.07,0,0,post-market,,
2002-12-31,12.3600,12.7300,10.4100,10.8000,8.6597,867381300,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-18,0.1,0.08,0.02,25,post-market,,
2003-01-31,10.9400,13.3600,10.8000,12.0300,9.6460,962179400,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-12-18,0.1,0.08,0.02,25,post-market,,
2003-02-28,12.0100,12.4700,11.2600,11.9600,9.5899,754891100,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-03-18,0.11,0.1,0.01,10,post-market,,
2003-03-31,12.2000,12.4500,10.6400,10.8500,8.6998,1020072200,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-03-18,0.11,0.1,0.01,10,post-market,,
2003-04-30,10.8800,12.5100,10.6500,11.8800,9.5257,748240300,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-03-18,0.11,0.1,0.01,10,post-market,,
2003-05-30,11.8510,13.4000,11.7400,13.0100,10.4318,799044400,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-03-18,0.11,0.1,0.01,10,post-market,,
2003-06-30,13.2100,14.0000,12.0000,12.0100,9.6299,924177800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-06-12,0.16,0.14,0.02,14.2857,post-market,,
2003-07-31,12.0400,13.0900,11.5886,11.9900,9.6139,735875700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-06-12,0.16,0.14,0.02,14.2857,post-market,,
2003-08-29,11.9000,12.8900,11.1700,12.8300,10.2874,761576900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-06-12,0.16,0.14,0.02,14.2857,post-market,,
2003-09-30,12.9600,14.0300,11.2100,11.2500,9.0206,1226583000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12,0.08,0.08,0,0,pre-market,,
2003-10-31,11.4000,12.8900,11.3490,11.9700,9.5979,1032259700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12,0.08,0.08,0,0,pre-market,,
2003-11-28,12.0600,12.8800,11.7500,12.0200,9.6380,740531700,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-12,0.08,0.08,0,0,pre-market,,
2003-12-31,12.1700,13.4300,12.1600,13.2300,10.6082,962339900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-15,0.12,0.11,0.01,9.0909,post-market,,
2004-01-30,13.2500,15.5100,13.1100,13.8600,11.1133,869138900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-15,0.12,0.11,0.01,9.0909,post-market,,
2004-02-27,13.7600,14.2100,12.8600,12.8700,10.3195,706526000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-15,0.12,0.11,0.01,9.0909,post-market,,
2004-03-31,13.1100,13.2800,11.1500,12.0000,9.6219,1329489200,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-11,0.12,0.12,0,0,post-market,,
2004-04-30,11.9900,12.8600,11.2166,11.2500,9.0206,930484900,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-11,0.12,0.12,0,0,post-market,,
2004-05-28,11.3500,11.8500,11.1500,11.4000,9.1408,777086800,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-11,0.12,0.12,0,0,post-market,,
2004-06-30,11.2400,12.0700,10.8500,11.9300,9.5658,1101885000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-06-15,0.19,0.18,0.01,5.5556,post-market,,
